datetime,MW
2020-03-01 00:00:00,10.108
2020-03-01 00:15:00,11.196
2020-03-01 00:30:00,11.32
2020-03-01 00:45:00,11.452
2020-03-01 01:00:00,11.036
2020-03-01 01:15:00,10.296
2020-03-01 01:30:00,10.008
2020-03-01 01:45:00,10.248
2020-03-01 02:00:00,9.924
2020-03-01 02:15:00,11.008
2020-03-01 02:30:00,11.792

